Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-01,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-01,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-08,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-08,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-08,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-15,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-15,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-15,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-22,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-22,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-22,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-28,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-28,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-03,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-03,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-10,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-10,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-10,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-17,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-17,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-17,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-24,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-24,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-24,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-31,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-31,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-05,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-05,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-12,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-12,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,PECOS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,IRION,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-02,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-02,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-23,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-23,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-06,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-06,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-13,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-13,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-20,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-20,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-27,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-27,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-27,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-04,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-04,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-04,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-11,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-11,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-18,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-18,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-25,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-25,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-05,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-12,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-19,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-26,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-07,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-07,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-14,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-21,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-28,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-28,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-05,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-05,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-12,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-23,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-23,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-30,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-30,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-30,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-01,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-08,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-15,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-22,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-27,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-06,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-06,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-13,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-20,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,YOAKUM,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-27,3
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-01,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-01,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-08,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-15,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-22,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-28,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,3,2024-03-28,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-05,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-12,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,4,2024-04-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-03,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-10,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-17,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,5,2024-05-24,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-14,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,6,2024-06-21,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-12,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-06,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-13,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,9,2024-09-20,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,10,2024-10-25,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-02,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-02,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CRANE,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,8,2024-08-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-05,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-05,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-12,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-12,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-12,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-19,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,1,2024-01-26,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-06,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-06,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-13,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-13,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-13,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-13,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-20,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-20,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-20,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-27,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-27,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,12,2024-12-27,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-02,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-02,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-02,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-09,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-16,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,BORDEN,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-23,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,DAWSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,2,2024-02-23,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-01,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-01,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-01,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-08,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-08,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-08,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-15,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-15,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WINKLER,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-15,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-22,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-22,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ECTOR,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-27,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,GLASSCOCK,Permian,No,Oil,Land,TEXAS,Horizontal,2024,11,2024-11-27,4
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-05,8
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CULBERSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-05,8
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WARD,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-05,8
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,ANDREWS,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-12,8
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,CULBERSON,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-12,8
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,WARD,Permian,No,Oil,Land,TEXAS,Horizontal,2024,7,2024-07-12,8
